cluster_uid,target,sources,n_source,silhouette_score,cluster_density,cluster_diameter,note,cluster_note,shared_PPI_partners_score_stringdb_arabidopsis,shortest_PPI_path_score_stringdb_arabidopsis,density_stringdb_arabidopsis,density_score_stringdb_arabidopsis,lcc_stringdb_arabidopsis,lcc_score_stringdb_arabidopsis,tc_stringdb_arabidopsis,tc_score_stringdb_arabidopsis,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,TFBS_affinity,TFBS_affinity_score,TF_found_per,TFBS_affinity_sum,TFBS_affinity_sum_score,dCor_sources_obs,dCor_target_obs,dCor_sources_score,dCor_target_score
e68bad230f6b67,AT1G51680,AT1G03970;AT1G13260;AT2G37060;AT3G27010;AT4G35040;AT5G57620;AT5G51990;AT5G11260;AT3G24490;AT5G28040;AT4G05100;AT3G10760;AT3G01470;AT5G08520;AT5G10140;AT4G06746;AT1G26960;AT3G58120;AT1G19700;AT4G17460;AT5G66730;AT1G50420;AT3G62420;AT1G78600,24,0.13538,0.02953,0.11249,c1,leiden,1.43418,0.38466,0.02536,4.61512,0.29167,4.61512,0.0,-0.0,0.56629,1.36487,0.5124,0.0,0.0,0.0,0.0,0.0,0.18225,0.24744,0.01205,-0.0
0b8c2bff7714de,AT2G28670,AT4G32040;AT5G59780;AT5G67300;AT2G01570,4,0.22594,0.03841,0.05493,c1,leiden,2.44336,0.375,0.0,0.0,0.25,0.0,0.0,-0.0,0.59973,1.84251,0.47378,0.29289,3.22386,25.0,0.29289,4.20469,0.53346,0.42146,0.89849,6.21661
55ea6f93631909,AT2G36100,AT1G78080;AT2G44730;AT2G34720;AT4G37180;AT4G17230;AT4G06746;AT4G01720;AT3G49690;AT2G47890;AT5G51780;AT5G06100;AT5G10140;AT2G33480;AT1G77450;AT1G19220;AT4G25560;AT5G58620;AT5G59820;AT5G49450;AT2G42430;AT5G05790;AT4G27410;AT2G22430;AT4G05170;AT1G19700,25,0.50494,0.01105,0.05533,c1,leiden,1.06294,0.36972,0.00667,2.82336,0.08,1.31928,0.0,-0.0,0.50355,1.21153,0.45929,0.00088,0.05103,9.09,0.00176,4.20469,0.22433,0.36472,0.01003,0.002
5a2ec04eb31c81,AT2G37040,AT1G74930;AT5G64810;AT4G31920;AT3G23210;AT2G46680;AT4G09460;AT5G12330;AT3G22830;AT3G13040;AT5G15210;AT4G16141;AT1G72010;AT1G54830;AT1G10120;AT4G25490;AT2G34720;AT3G53600;AT1G20980;AT1G43160;AT1G44830;AT4G39780;AT5G05410;AT3G19580;AT3G58120,24,0.04851,0.04092,0.1287,c1,leiden,1.62844,0.38708,0.02899,4.61512,0.25,4.61512,0.0,-0.0,0.58176,1.37549,0.54291,0.13111,1.61443,25.0,0.78666,3.69387,0.18574,0.19033,0.004,0.004
36987f9d7ddfd0,AT5G42180,AT2G40140;AT5G63790,2,0.1369,0.03201,0.03201,c1,leiden,7.148,0.5,0.0,0.0,0.5,0.0,0.0,-0.0,0.69392,1.85654,0.64377,0.0,0.0,0.0,0.0,0.0,1.0,0.32965,1.55317,3.91402
d414dd046fc783,AT5G43760,AT1G22810;AT1G71520,2,0.04771,0.04292,0.04292,c1,leiden,1.53838,0.5,0.0,0.0,0.5,0.0,0.0,-0.0,0.79882,1.87172,0.76348,0.0,0.0,0.0,0.0,0.0,0.58701,0.33436,0.99086,5.52346
507266fbd50f64,AT5G43760,AT5G65790;AT1G26960;AT3G51910;AT5G10280;AT4G37940;AT5G62000;AT5G54680;AT2G18160;AT2G46400;AT5G03740;AT1G25550;AT2G32250;AT4G24060;AT5G03150;AT5G15150;AT2G23290;AT4G09460;AT5G02840;AT5G40880;AT3G21175;AT2G46680;AT4G40060;AT3G62420;AT2G41835;AT5G51780,25,0.09442,0.04011,0.09568,c1,leiden,0.89965,0.36722,0.00333,0.90155,0.08,0.90155,0.0,-0.0,0.51989,1.16161,0.48043,0.04127,0.68818,29.17,0.28887,3.91701,0.19,0.21416,0.004,6.21661
91a8fb9631a17f,AT5G52250,AT5G67580;AT1G32150,2,0.28227,0.02281,0.02281,c1,leiden,0.0,0.33333,0.0,0.0,0.5,0.0,0.0,-0.0,0.70996,1.81255,0.6423,0.00256,1.8068,50.0,0.00256,4.20469,1.0,0.11171,1.48041,1.55317
29620b7b450dd9,AT5G52250,AT5G24590;AT5G10280;AT1G76880;AT4G36710;AT1G33240;AT1G49560;AT1G68130;AT3G63350;AT5G10030;AT3G51910;AT1G58110;AT5G08790;AT2G46830;AT5G14000;AT1G44810;AT4G20380;AT1G07530;AT5G53980;AT2G40620;AT5G15160;AT1G02220;AT3G25790;AT5G15150;AT1G75080;AT1G51140,25,0.02274,0.03037,0.08486,c1,leiden,0.83272,0.36972,0.02,4.61512,0.16,4.61512,0.0,-0.0,0.58808,1.40417,0.53979,0.24377,5.3033,29.17,1.70641,4.20469,0.21786,0.17437,0.0304,6.21661
6c0b0f4c28def9,AT5G54160,AT5G47640;AT2G40620;AT5G18830;AT4G37540,4,0.09091,0.05821,0.08495,c1,leiden,0.28499,0.38889,0.0,0.0,0.25,0.0,0.0,-0.0,0.44665,1.3153,0.35891,0.0,0.0,0.0,0.0,0.0,0.28447,0.18289,0.56061,0.25303
775efc7f5a0e45,AT5G54160,AT5G45420;AT5G40880,2,0.22542,0.05133,0.05133,c1,leiden,1.96685,0.5,0.0,0.0,0.5,0.0,0.0,-0.0,0.36115,0.76842,0.3546,0.0,0.0,0.0,0.0,0.0,0.24597,0.15484,0.9855,0.51951
